age,c_charge_degree,race,age_cat,score_text,sex,priors_count,decile_score,two_year_recid
25 to 45,M,Caucasian,25 - 45,Low,Male,0,Low,Yes
Greater than 45,M,African-American,Greater than 45,Low,Male,0,Low,No
25 to 45,F,African-American,25 - 45,Low,Male,4,Low,Yes
Greater than 45,M,Caucasian,Greater than 45,Low,Female,0,Low,No
25 to 45,F,African-American,25 - 45,Medium,Male,0,Medium,No
25 to 45,M,Caucasian,25 - 45,Low,Male,1,Low,Yes
25 to 45,F,Hispanic,25 - 45,Medium,Male,7,Medium,Yes
Greater than 45,F,Hispanic,Greater than 45,Low,Male,More than 10,Low,No
Greater than 45,F,African-American,Greater than 45,Medium,Male,More than 10,Medium,Yes
25 to 45,F,Caucasian,25 - 45,Medium,Male,2,Medium,No
Greater than 45,M,Caucasian,Greater than 45,Low,Male,1,Low,No
25 to 45,F,Caucasian,25 - 45,Low,Male,1,Low,No
Greater than 45,M,Caucasian,Greater than 45,Low,Male,4,Low,No
Greater than 45,F,Other,Greater than 45,Medium,Male,More than 10,Medium,No
25 to 45,M,African-American,25 - 45,Low,Female,0,Low,No
Greater than 45,M,Caucasian,Greater than 45,Low,Female,0,Low,No
25 to 45,M,Hispanic,25 - 45,Low,Male,7,Low,No
25 to 45,M,Other,25 - 45,Low,Male,2,Low,No
25 to 45,M,African-American,25 - 45,Low,Male,2,Low,No
25 to 45,F,African-American,25 - 45,Low,Female,6,Low,No
25 to 45,M,Other,25 - 45,Low,Male,0,Low,No
Greater than 45,F,African-American,Greater than 45,Medium,Male,10,Medium,Yes
25 to 45,F,African-American,25 - 45,Medium,Male,5,Medium,Yes
Less than 25,F,Caucasian,Less than 25,Low,Male,0,Low,No
Greater than 45,F,Caucasian,Greater than 45,Medium,Male,1,Medium,Yes
Greater than 45,M,African-American,Greater than 45,Medium,Male,4,Medium,No
Less than 25,F,African-American,Less than 25,Low,Male,0,Low,Yes
25 to 45,F,Caucasian,25 - 45,Low,Male,4,Low,Yes
Less than 25,F,Caucasian,Less than 25,Low,Male,0,Low,No
Less than 25,M,Caucasian,Less than 25,High,Male,0,High,No
25 to 45,F,Caucasian,25 - 45,Low,Male,6,Low,No
25 to 45,M,African-American,25 - 45,Low,Male,1,Low,Yes
25 to 45,F,African-American,25 - 45,Low,Male,0,Low,No
25 to 45,F,African-American,25 - 45,Low,Male,6,Low,Yes
25 to 45,F,Caucasian,25 - 45,Low,Male,1,Low,Yes
Less than 25,F,Caucasian,Less than 25,Low,Male,0,Low,Yes
25 to 45,F,Other,25 - 45,Low,Male,1,Low,No
25 to 45,F,Caucasian,25 - 45,Low,Male,0,Low,No
25 to 45,F,Hispanic,25 - 45,High,Male,More than 10,High,No
25 to 45,F,African-American,25 - 45,Medium,Male,0,Medium,No
25 to 45,F,African-American,25 - 45,Medium,Male,More than 10,Medium,Yes
Less than 25,M,Caucasian,Less than 25,High,Male,9,High,Yes
Less than 25,F,Hispanic,Less than 25,Medium,Male,0,Medium,Yes
Greater than 45,M,Caucasian,Greater than 45,Low,Male,1,Low,No
25 to 45,F,African-American,25 - 45,High,Male,5,High,Yes
25 to 45,M,Hispanic,25 - 45,Low,Male,2,Low,Yes
Greater than 45,F,Caucasian,Greater than 45,Medium,Male,2,Medium,Yes
25 to 45,M,African-American,25 - 45,Low,Male,1,Low,No
Less than 25,F,Caucasian,Less than 25,Low,Male,2,Low,No
25 to 45,F,African-American,25 - 45,Medium,Male,8,Medium,No
Greater than 45,F,African-American,Greater than 45,Medium,Male,6,Medium,No
25 to 45,F,African-American,25 - 45,Medium,Male,3,Medium,No
Greater than 45,F,Other,Greater than 45,Low,Female,0,Low,No
25 to 45,F,African-American,25 - 45,Low,Male,3,Low,Yes
Less than 25,F,African-American,Less than 25,Medium,Male,3,Medium,Yes
Greater than 45,M,Caucasian,Greater than 45,Low,Male,1,Low,No
Less than 25,F,African-American,Less than 25,Medium,Male,3,Medium,Yes
Greater than 45,M,African-American,Greater than 45,Low,Male,3,Low,No
25 to 45,F,African-American,25 - 45,Low,Male,0,Low,No
25 to 45,F,Caucasian,25 - 45,Medium,Male,1,Medium,No
25 to 45,F,African-American,25 - 45,High,Male,More than 10,High,Yes
25 to 45,M,African-American,25 - 45,Low,Female,0,Low,No
Less than 25,F,African-American,Less than 25,Medium,Male,1,Medium,No
25 to 45,F,Caucasian,25 - 45,Low,Male,2,Low,Yes
25 to 45,F,Caucasian,25 - 45,Low,Male,5,Low,No
Less than 25,F,Hispanic,Less than 25,High,Male,8,High,No
25 to 45,M,African-American,25 - 45,Low,Male,5,Low,Yes
25 to 45,M,Caucasian,25 - 45,Low,Male,More than 10,Low,No
25 to 45,F,African-American,25 - 45,Low,Female,6,Low,Yes
25 to 45,M,Caucasian,25 - 45,Low,Male,0,Low,No
25 to 45,F,African-American,25 - 45,Medium,Male,More than 10,Medium,No
25 to 45,F,Hispanic,25 - 45,Medium,Male,4,Medium,No
25 to 45,M,African-American,25 - 45,Low,Female,0,Low,No
Greater than 45,F,Hispanic,Greater than 45,Low,Male,1,Low,No
Greater than 45,M,Caucasian,Greater than 45,Low,Female,2,Low,Yes
Greater than 45,F,Caucasian,Greater than 45,Low,Male,5,Low,Yes
Greater than 45,M,Caucasian,Greater than 45,Low,Male,0,Low,Yes
Greater than 45,M,Caucasian,Greater than 45,Low,Female,0,Low,No
25 to 45,F,African-American,25 - 45,Medium,Male,5,Medium,Yes
Less than 25,M,Caucasian,Less than 25,Low,Female,0,Low,No
Less than 25,M,Caucasian,Less than 25,Low,Male,1,Low,No
25 to 45,M,Other,25 - 45,Medium,Male,0,Medium,Yes
25 to 45,M,Hispanic,25 - 45,Low,Male,0,Low,No
25 to 45,F,Other,25 - 45,Low,Male,1,Low,No
25 to 45,M,African-American,25 - 45,Low,Male,0,Low,No
Less than 25,F,Caucasian,Less than 25,Medium,Female,0,Medium,No
25 to 45,M,African-American,25 - 45,Low,Male,0,Low,No
Less than 25,M,Hispanic,Less than 25,Low,Male,0,Low,Yes
25 to 45,F,Hispanic,25 - 45,Low,Male,1,Low,No
Less than 25,F,Caucasian,Less than 25,Medium,Female,0,Medium,No
Less than 25,F,African-American,Less than 25,Low,Male,1,Low,No
25 to 45,M,African-American,25 - 45,High,Male,3,High,Yes
25 to 45,M,African-American,25 - 45,Medium,Male,3,Medium,Yes
25 to 45,F,African-American,25 - 45,Low,Male,0,Low,No
Less than 25,F,African-American,Less than 25,High,Male,More than 10,High,Yes
25 to 45,F,African-American,25 - 45,Low,Female,1,Low,No
25 to 45,M,Hispanic,25 - 45,High,Male,1,High,Yes
25 to 45,M,African-American,25 - 45,Medium,Male,1,Medium,No
25 to 45,F,Caucasian,25 - 45,Medium,Male,6,Medium,Yes
Greater than 45,M,Caucasian,Greater than 45,Low,Female,0,Low,No
25 to 45,M,Caucasian,25 - 45,Low,Male,2,Low,No
25 to 45,M,African-American,25 - 45,Medium,Male,5,Medium,Yes
25 to 45,F,Caucasian,25 - 45,Low,Male,0,Low,No
Less than 25,F,African-American,Less than 25,High,Male,0,High,Yes
25 to 45,F,African-American,25 - 45,Medium,Male,4,Medium,Yes
Greater than 45,M,Caucasian,Greater than 45,Low,Male,0,Low,No
25 to 45,M,Caucasian,25 - 45,Low,Male,2,Low,Yes
25 to 45,F,African-American,25 - 45,Low,Male,10,Low,No
Greater than 45,M,African-American,Greater than 45,Low,Male,9,Low,Yes
Less than 25,F,Caucasian,Less than 25,High,Female,3,High,No
Less than 25,M,African-American,Less than 25,Medium,Female,0,Medium,No
Less than 25,F,Caucasian,Less than 25,High,Female,2,High,Yes
25 to 45,M,African-American,25 - 45,Low,Male,1,Low,No
25 to 45,M,African-American,25 - 45,Low,Male,0,Low,No
Greater than 45,F,African-American,Greater than 45,Medium,Male,More than 10,Medium,Yes
25 to 45,M,Hispanic,25 - 45,Low,Male,0,Low,No
Less than 25,F,African-American,Less than 25,High,Male,4,High,Yes
25 to 45,F,Caucasian,25 - 45,Medium,Male,3,Medium,Yes
25 to 45,M,Caucasian,25 - 45,High,Male,5,High,No
25 to 45,F,Caucasian,25 - 45,Medium,Male,1,Medium,No
Less than 25,F,Caucasian,Less than 25,Medium,Male,3,Medium,Yes
25 to 45,F,African-American,25 - 45,Low,Male,0,Low,No
25 to 45,F,African-American,25 - 45,High,Male,More than 10,High,Yes
25 to 45,F,Caucasian,25 - 45,Low,Female,0,Low,Yes
Less than 25,F,Other,Less than 25,High,Male,0,High,No
Greater than 45,F,African-American,Greater than 45,Low,Female,4,Low,Yes
Greater than 45,M,Caucasian,Greater than 45,Low,Female,0,Low,Yes
Less than 25,F,African-American,Less than 25,Low,Male,0,Low,No
Less than 25,F,African-American,Less than 25,High,Female,0,High,No
25 to 45,F,African-American,25 - 45,Low,Male,0,Low,No
25 to 45,F,African-American,25 - 45,High,Male,8,High,Yes
25 to 45,F,African-American,25 - 45,Medium,Female,10,Medium,No
Greater than 45,F,Caucasian,Greater than 45,Medium,Female,1,Medium,No
25 to 45,F,Caucasian,25 - 45,Low,Male,2,Low,Yes
25 to 45,F,African-American,25 - 45,High,Male,0,High,Yes
Less than 25,F,African-American,Less than 25,Low,Male,1,Low,Yes
25 to 45,F,African-American,25 - 45,Medium,Male,More than 10,Medium,Yes
25 to 45,F,Caucasian,25 - 45,Low,Male,1,Low,Yes
25 to 45,F,African-American,25 - 45,High,Male,More than 10,High,Yes
Greater than 45,F,African-American,Greater than 45,High,Male,More than 10,High,No
Less than 25,F,African-American,Less than 25,Medium,Male,3,Medium,No
25 to 45,M,African-American,25 - 45,High,Male,1,High,Yes
Less than 25,M,Hispanic,Less than 25,Medium,Male,2,Medium,Yes
Greater than 45,M,African-American,Greater than 45,Low,Male,2,Low,Yes
25 to 45,M,African-American,25 - 45,Low,Male,0,Low,No
25 to 45,F,African-American,25 - 45,Low,Female,0,Low,No
Greater than 45,M,Caucasian,Greater than 45,Low,Male,1,Low,No
Greater than 45,F,Hispanic,Greater than 45,Low,Male,0,Low,No
Less than 25,F,African-American,Less than 25,Medium,Male,0,Medium,No
25 to 45,F,African-American,25 - 45,Low,Male,More than 10,Low,No
25 to 45,M,Other,25 - 45,High,Male,4,High,Yes
Greater than 45,F,Other,Greater than 45,Low,Male,0,Low,No
25 to 45,M,African-American,25 - 45,Low,Female,0,Low,No
Greater than 45,F,Caucasian,Greater than 45,Low,Female,2,Low,No
25 to 45,M,African-American,25 - 45,Low,Male,0,Low,No
25 to 45,M,African-American,25 - 45,Medium,Male,0,Medium,Yes
Greater than 45,F,African-American,Greater than 45,High,Male,More than 10,High,Yes
Less than 25,F,African-American,Less than 25,High,Male,3,High,No
25 to 45,M,Caucasian,25 - 45,Low,Female,0,Low,No
25 to 45,F,Caucasian,25 - 45,High,Female,More than 10,High,Yes
25 to 45,F,Hispanic,25 - 45,High,Male,7,High,Yes
Less than 25,M,African-American,Less than 25,High,Male,2,High,Yes
25 to 45,F,African-American,25 - 45,Low,Male,3,Low,No
Less than 25,F,Asian,Less than 25,Medium,Male,0,Medium,Yes
Greater than 45,F,Caucasian,Greater than 45,Low,Male,3,Low,Yes
25 to 45,F,African-American,25 - 45,Medium,Male,5,Medium,No
25 to 45,M,African-American,25 - 45,Medium,Male,4,Medium,No
25 to 45,F,African-American,25 - 45,High,Male,More than 10,High,Yes
Greater than 45,F,Caucasian,Greater than 45,Low,Male,2,Low,No
25 to 45,M,African-American,25 - 45,Low,Male,3,Low,Yes
Greater than 45,F,Caucasian,Greater than 45,Medium,Male,2,Medium,Yes
Greater than 45,F,African-American,Greater than 45,Medium,Male,More than 10,Medium,Yes
25 to 45,M,African-American,25 - 45,Low,Male,2,Low,No
Less than 25,M,African-American,Less than 25,Medium,Male,1,Medium,No
25 to 45,F,African-American,25 - 45,Low,Male,1,Low,No
Greater than 45,F,African-American,Greater than 45,Low,Male,0,Low,No
25 to 45,F,African-American,25 - 45,Low,Male,6,Low,No
25 to 45,M,African-American,25 - 45,Medium,Male,10,Medium,Yes
25 to 45,F,African-American,25 - 45,High,Male,10,High,Yes
25 to 45,F,Caucasian,25 - 45,Low,Male,1,Low,No
Greater than 45,F,Caucasian,Greater than 45,Low,Female,9,Low,Yes
Greater than 45,F,Caucasian,Greater than 45,Low,Male,1,Low,No
25 to 45,F,African-American,25 - 45,Low,Male,0,Low,No
Less than 25,M,Hispanic,Less than 25,Low,Male,0,Low,No
Greater than 45,F,Caucasian,Greater than 45,High,Female,2,High,No
Less than 25,F,African-American,Less than 25,Medium,Male,0,Medium,Yes
Greater than 45,F,African-American,Greater than 45,High,Male,More than 10,High,Yes
Greater than 45,M,African-American,Greater than 45,Low,Male,0,Low,No
Less than 25,F,African-American,Less than 25,Medium,Male,1,Medium,No
25 to 45,F,Caucasian,25 - 45,Low,Male,1,Low,Yes
Greater than 45,F,Caucasian,Greater than 45,Low,Male,0,Low,No
25 to 45,M,Caucasian,25 - 45,Low,Male,0,Low,Yes
Less than 25,F,Hispanic,Less than 25,High,Male,1,High,No
Less than 25,M,Caucasian,Less than 25,Low,Male,0,Low,No
25 to 45,F,Caucasian,25 - 45,Low,Male,0,Low,Yes
Greater than 45,M,Caucasian,Greater than 45,Low,Male,0,Low,No
Less than 25,F,Caucasian,Less than 25,Low,Male,1,Low,No
25 to 45,F,Hispanic,25 - 45,Low,Female,1,Low,No
Less than 25,F,African-American,Less than 25,High,Male,0,High,No
25 to 45,F,Caucasian,25 - 45,Low,Male,1,Low,No
Less than 25,F,Caucasian,Less than 25,Low,Male,1,Low,Yes
Greater than 45,F,African-American,Greater than 45,Low,Male,0,Low,Yes
25 to 45,F,African-American,25 - 45,High,Female,4,High,Yes
Greater than 45,F,African-American,Greater than 45,Medium,Male,2,Medium,No
Less than 25,F,African-American,Less than 25,High,Male,6,High,Yes
Less than 25,F,African-American,Less than 25,High,Male,0,High,No
25 to 45,F,African-American,25 - 45,Low,Male,0,Low,No
Less than 25,F,African-American,Less than 25,Low,Male,0,Low,No
Greater than 45,F,African-American,Greater than 45,High,Male,More than 10,High,No
25 to 45,F,African-American,25 - 45,Medium,Male,10,Medium,Yes
Less than 25,F,African-American,Less than 25,Low,Male,0,Low,No
Less than 25,M,Caucasian,Less than 25,Medium,Female,0,Medium,No
25 to 45,F,Other,25 - 45,Low,Male,0,Low,No
25 to 45,F,Caucasian,25 - 45,Medium,Male,More than 10,Medium,Yes
Less than 25,F,African-American,Less than 25,High,Male,0,High,Yes
Greater than 45,F,Caucasian,Greater than 45,Low,Female,0,Low,No
25 to 45,M,African-American,25 - 45,Medium,Male,7,Medium,Yes
25 to 45,M,African-American,25 - 45,High,Female,1,High,No
Greater than 45,F,African-American,Greater than 45,Low,Male,8,Low,No
25 to 45,M,African-American,25 - 45,High,Male,10,High,No
25 to 45,F,African-American,25 - 45,Medium,Female,0,Medium,No
Less than 25,F,African-American,Less than 25,Medium,Male,0,Medium,Yes
25 to 45,F,African-American,25 - 45,Medium,Female,3,Medium,No
Less than 25,F,African-American,Less than 25,Medium,Male,2,Medium,Yes
25 to 45,F,African-American,25 - 45,Medium,Male,4,Medium,Yes
Greater than 45,F,African-American,Greater than 45,High,Female,More than 10,High,Yes
Less than 25,F,Other,Less than 25,Low,Male,1,Low,Yes
Less than 25,M,Other,Less than 25,High,Female,0,High,No
Less than 25,F,Caucasian,Less than 25,High,Female,1,High,Yes
Less than 25,F,African-American,Less than 25,Low,Female,0,Low,No
25 to 45,M,Native American,25 - 45,Medium,Male,3,Medium,No
Greater than 45,F,African-American,Greater than 45,Low,Female,0,Low,No
Less than 25,F,African-American,Less than 25,Medium,Female,0,Medium,No
25 to 45,F,African-American,25 - 45,Medium,Male,5,Medium,Yes
25 to 45,F,African-American,25 - 45,Medium,Male,6,Medium,No
Less than 25,M,Other,Less than 25,Low,Male,2,Low,No
25 to 45,F,African-American,25 - 45,High,Male,4,High,Yes
25 to 45,M,African-American,25 - 45,Low,Male,1,Low,No
25 to 45,F,Other,25 - 45,Low,Male,1,Low,Yes
25 to 45,F,Hispanic,25 - 45,Low,Male,0,Low,No
25 to 45,M,African-American,25 - 45,Low,Male,0,Low,No
25 to 45,F,African-American,25 - 45,Medium,Male,8,Medium,Yes
25 to 45,M,Caucasian,25 - 45,Low,Male,0,Low,No
Greater than 45,M,Caucasian,Greater than 45,Low,Male,0,Low,No
25 to 45,F,African-American,25 - 45,Low,Male,4,Low,No
25 to 45,F,African-American,25 - 45,Medium,Female,4,Medium,No
Less than 25,M,Caucasian,Less than 25,Low,Male,1,Low,Yes
Less than 25,F,Caucasian,Less than 25,High,Male,2,High,Yes
Less than 25,F,Caucasian,Less than 25,Low,Male,0,Low,Yes
Greater than 45,F,African-American,Greater than 45,Medium,Male,More than 10,Medium,No
Greater than 45,F,Caucasian,Greater than 45,Medium,Male,0,Medium,No
25 to 45,F,Other,25 - 45,Low,Male,0,Low,No
25 to 45,F,African-American,25 - 45,Medium,Female,3,Medium,No
25 to 45,M,Caucasian,25 - 45,Low,Male,0,Low,No
Less than 25,F,African-American,Less than 25,High,Male,1,High,Yes
25 to 45,M,Caucasian,25 - 45,Low,Male,2,Low,No
Less than 25,F,African-American,Less than 25,Medium,Male,0,Medium,Yes
25 to 45,F,African-American,25 - 45,High,Male,More than 10,High,Yes
Less than 25,M,Other,Less than 25,Low,Female,0,Low,No
Greater than 45,M,African-American,Greater than 45,Low,Male,0,Low,No
25 to 45,F,Other,25 - 45,Low,Male,0,Low,No
Less than 25,F,Caucasian,Less than 25,Low,Male,0,Low,No
Less than 25,M,African-American,Less than 25,Medium,Female,1,Medium,Yes
25 to 45,M,African-American,25 - 45,Low,Female,1,Low,No
Greater than 45,M,Hispanic,Greater than 45,Low,Male,0,Low,No
25 to 45,F,Caucasian,25 - 45,Medium,Male,2,Medium,No
25 to 45,F,African-American,25 - 45,Low,Male,3,Low,Yes
25 to 45,M,African-American,25 - 45,Low,Female,0,Low,No
25 to 45,F,African-American,25 - 45,Low,Male,0,Low,No
25 to 45,M,Other,25 - 45,Medium,Male,3,Medium,No
25 to 45,F,African-American,25 - 45,High,Male,More than 10,High,Yes
Less than 25,F,African-American,Less than 25,Low,Male,1,Low,Yes
25 to 45,F,African-American,25 - 45,Medium,Male,7,Medium,No
Less than 25,F,African-American,Less than 25,Low,Male,0,Low,No
25 to 45,F,Caucasian,25 - 45,Low,Male,8,Low,No
25 to 45,F,African-American,25 - 45,Medium,Male,More than 10,Medium,Yes
25 to 45,M,African-American,25 - 45,Medium,Male,0,Medium,No
25 to 45,M,Caucasian,25 - 45,Low,Female,1,Low,Yes
25 to 45,M,African-American,25 - 45,High,Male,5,High,Yes
25 to 45,F,African-American,25 - 45,High,Male,More than 10,High,No
25 to 45,M,Caucasian,25 - 45,Low,Male,1,Low,Yes
25 to 45,M,Other,25 - 45,Low,Female,0,Low,Yes
25 to 45,M,Caucasian,25 - 45,Low,Male,0,Low,No
Greater than 45,F,Caucasian,Greater than 45,Low,Male,2,Low,No
25 to 45,M,African-American,25 - 45,Medium,Male,3,Medium,Yes
Less than 25,F,African-American,Less than 25,Low,Female,1,Low,No
25 to 45,M,Caucasian,25 - 45,Low,Male,2,Low,No
25 to 45,F,African-American,25 - 45,High,Male,More than 10,High,Yes
25 to 45,F,Other,25 - 45,Low,Male,0,Low,No
Less than 25,F,Other,Less than 25,Low,Male,0,Low,Yes
25 to 45,F,African-American,25 - 45,High,Male,More than 10,High,No
25 to 45,F,African-American,25 - 45,High,Male,3,High,Yes
Greater than 45,F,African-American,Greater than 45,High,Male,More than 10,High,Yes
Less than 25,M,African-American,Less than 25,Medium,Male,1,Medium,Yes
Greater than 45,M,African-American,Greater than 45,High,Male,9,High,Yes
25 to 45,F,Caucasian,25 - 45,Low,Male,5,Low,Yes
Greater than 45,M,African-American,Greater than 45,Medium,Male,4,Medium,Yes
25 to 45,M,African-American,25 - 45,Low,Male,4,Low,No
Greater than 45,M,Caucasian,Greater than 45,Low,Male,4,Low,No
25 to 45,F,African-American,25 - 45,Low,Male,1,Low,Yes
25 to 45,M,African-American,25 - 45,Low,Male,2,Low,No
25 to 45,F,African-American,25 - 45,Medium,Male,6,Medium,Yes
25 to 45,F,Other,25 - 45,Low,Male,3,Low,No
Greater than 45,F,Caucasian,Greater than 45,Low,Male,0,Low,No
Less than 25,M,African-American,Less than 25,Medium,Male,1,Medium,Yes
25 to 45,M,Caucasian,25 - 45,Medium,Male,4,Medium,Yes
25 to 45,M,Caucasian,25 - 45,Low,Female,1,Low,Yes
Less than 25,F,African-American,Less than 25,High,Male,1,High,No
Less than 25,F,African-American,Less than 25,High,Male,1,High,Yes
Less than 25,F,Caucasian,Less than 25,Low,Male,3,Low,Yes
25 to 45,M,African-American,25 - 45,High,Male,4,High,Yes
Greater than 45,F,Caucasian,Greater than 45,Low,Male,1,Low,No
Less than 25,F,African-American,Less than 25,Medium,Male,5,Medium,Yes
25 to 45,F,Caucasian,25 - 45,Low,Male,0,Low,No
Greater than 45,F,Caucasian,Greater than 45,Low,Male,0,Low,No
Less than 25,M,African-American,Less than 25,High,Male,7,High,No
Less than 25,M,Caucasian,Less than 25,Medium,Female,0,Medium,No
Less than 25,F,African-American,Less than 25,Low,Male,1,Low,Yes
25 to 45,M,African-American,25 - 45,High,Male,9,High,No
25 to 45,F,African-American,25 - 45,Low,Male,5,Low,Yes
Less than 25,F,Caucasian,Less than 25,Medium,Female,1,Medium,No
25 to 45,F,African-American,25 - 45,High,Male,0,High,Yes
25 to 45,M,African-American,25 - 45,High,Male,More than 10,High,Yes
Less than 25,F,African-American,Less than 25,Low,Male,0,Low,No
25 to 45,F,African-American,25 - 45,High,Male,More than 10,High,Yes
Greater than 45,F,Other,Greater than 45,Low,Male,0,Low,No
25 to 45,F,African-American,25 - 45,Low,Female,4,Low,No
25 to 45,F,Caucasian,25 - 45,Low,Male,0,Low,No
Greater than 45,F,African-American,Greater than 45,Low,Female,0,Low,No
Less than 25,F,African-American,Less than 25,High,Male,3,High,No
25 to 45,M,African-American,25 - 45,Low,Female,1,Low,No
Less than 25,F,Caucasian,Less than 25,High,Male,1,High,Yes
25 to 45,F,Caucasian,25 - 45,Low,Male,3,Low,No
Less than 25,F,African-American,Less than 25,High,Male,6,High,Yes
25 to 45,F,Other,25 - 45,Low,Male,4,Low,Yes
25 to 45,F,African-American,25 - 45,Low,Male,1,Low,No
Greater than 45,F,Caucasian,Greater than 45,Low,Male,1,Low,No
25 to 45,F,African-American,25 - 45,Medium,Male,1,Medium,No
Less than 25,F,Hispanic,Less than 25,Medium,Male,3,Medium,Yes
Greater than 45,F,African-American,Greater than 45,Low,Male,3,Low,No
Less than 25,M,Caucasian,Less than 25,Low,Male,1,Low,Yes
25 to 45,F,African-American,25 - 45,Medium,Male,4,Medium,No
25 to 45,F,Caucasian,25 - 45,Low,Female,1,Low,Yes
25 to 45,F,African-American,25 - 45,Medium,Female,1,Medium,No
25 to 45,M,Hispanic,25 - 45,Low,Male,0,Low,No
